scope,scenario_id,system,retrieval_operations,planned_subqueries,trace_length,n_errors,error_types,stop_reason,execution_status,elapsed_seconds,n_new_chunks_after_op1,n_new_grade_ge2_after_op1,intervention_added_grade_ge2_value,requirement_coverage,legal_static_requirement_coverage,regression_vs_legal_static
matched_dev,DEV001,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,13.79,3,2,True,0.5,0.5,False
matched_dev,DEV002,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,1.93,3,1,True,0.5,0.0,False
matched_dev,DEV003,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.2,4,1,True,1.0,0.0,False
matched_dev,DEV004,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.15,3,1,True,0.0,0.0,False
matched_dev,DEV005,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,1.93,4,2,True,1.0,1.0,False
matched_dev,DEV006,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,3.07,5,3,True,1.0,0.0,False
matched_dev,DEV007,planned_multisearch,2,1,2,0,,CONTROLLER_STOP,COMPLETED,1.58,4,1,True,1.0,0.0,False
matched_dev,DEV008,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,1.84,4,1,True,,,False
matched_dev,DEV009,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,1.66,2,1,True,1.0,1.0,False
matched_dev,DEV010,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.38,5,0,False,0.0,0.0,False
matched_dev,DEV011,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.41,1,1,True,1.0,1.0,False
matched_dev,DEV012,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,1.76,3,2,True,1.0,1.0,False
matched_dev,DEV013,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,1.82,7,1,True,0.0,1.0,True
matched_dev,DEV014,planned_multisearch,2,1,2,0,,CONTROLLER_STOP,COMPLETED,1.62,4,2,True,0.0,0.0,False
matched_dev,DEV015,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.64,3,2,True,,,False
matched_dev,DEV016,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,1.9,4,1,True,1.0,1.0,False
matched_dev,DEV017,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,1.92,4,1,True,1.0,1.0,False
matched_dev,DEV018,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.04,1,1,True,1.0,1.0,False
