lifecycle_category,n_chunks,n_documents,top_authority_classes,method_note
strategy_planning,625,415,OFFICIAL_WORKFLOW=498; OFFICIAL_GOVERNMENT_GUIDANCE=162; PROFESSIONAL_INTERPRETATION=34,"keyword match over LLM-assigned free-text procurement_stage field, not a corpus-native controlled taxonomy"
preliminary_market_engagement,18,15,OFFICIAL_GOVERNMENT_GUIDANCE=9; OFFICIAL_WORKFLOW=8; PROFESSIONAL_INTERPRETATION=1,"keyword match over LLM-assigned free-text procurement_stage field, not a corpus-native controlled taxonomy"
procedure_selection,2,2,OFFICIAL_WORKFLOW=2,"keyword match over LLM-assigned free-text procurement_stage field, not a corpus-native controlled taxonomy"
participation_conditions,205,124,OFFICIAL_WORKFLOW=124; OFFICIAL_GOVERNMENT_GUIDANCE=65; PROFESSIONAL_INTERPRETATION=8,"keyword match over LLM-assigned free-text procurement_stage field, not a corpus-native controlled taxonomy"
exclusions,34,18,OFFICIAL_GOVERNMENT_GUIDANCE=18; SECONDARY_LEGISLATION=7; OFFICIAL_WORKFLOW=7,"keyword match over LLM-assigned free-text procurement_stage field, not a corpus-native controlled taxonomy"
tendering,385,180,OFFICIAL_WORKFLOW=206; OFFICIAL_GOVERNMENT_GUIDANCE=128; SECONDARY_LEGISLATION=48,"keyword match over LLM-assigned free-text procurement_stage field, not a corpus-native controlled taxonomy"
award_criteria_evaluation,436,245,OFFICIAL_WORKFLOW=245; OFFICIAL_GOVERNMENT_GUIDANCE=162; SECONDARY_LEGISLATION=24,"keyword match over LLM-assigned free-text procurement_stage field, not a corpus-native controlled taxonomy"
direct_award,5,4,NON_AUTHORITATIVE_PROFESSIONAL=2; OFFICIAL_WORKFLOW=2; PROFESSIONAL_INTERPRETATION=1,"keyword match over LLM-assigned free-text procurement_stage field, not a corpus-native controlled taxonomy"
transparency_notices,237,183,OFFICIAL_WORKFLOW=189; OFFICIAL_GOVERNMENT_GUIDANCE=29; SECONDARY_LEGISLATION=9,"keyword match over LLM-assigned free-text procurement_stage field, not a corpus-native controlled taxonomy"
standstill,5,3,OFFICIAL_WORKFLOW=4; PROFESSIONAL_INTERPRETATION=1,"keyword match over LLM-assigned free-text procurement_stage field, not a corpus-native controlled taxonomy"
contract_award,702,330,OFFICIAL_WORKFLOW=325; OFFICIAL_GOVERNMENT_GUIDANCE=278; SECONDARY_LEGISLATION=77,"keyword match over LLM-assigned free-text procurement_stage field, not a corpus-native controlled taxonomy"
frameworks,47,33,OFFICIAL_GOVERNMENT_GUIDANCE=22; PROFESSIONAL_INTERPRETATION=9; OFFICIAL_WORKFLOW=7,"keyword match over LLM-assigned free-text procurement_stage field, not a corpus-native controlled taxonomy"
dynamic_markets,4,2,OFFICIAL_GOVERNMENT_GUIDANCE=3; OFFICIAL_WORKFLOW=1,"keyword match over LLM-assigned free-text procurement_stage field, not a corpus-native controlled taxonomy"
kpis_performance,18,14,OFFICIAL_GOVERNMENT_GUIDANCE=9; OFFICIAL_WORKFLOW=4; SECONDARY_LEGISLATION=3,"keyword match over LLM-assigned free-text procurement_stage field, not a corpus-native controlled taxonomy"
payment,15,12,OFFICIAL_WORKFLOW=14; OFFICIAL_GOVERNMENT_GUIDANCE=1,"keyword match over LLM-assigned free-text procurement_stage field, not a corpus-native controlled taxonomy"
modification,32,25,OFFICIAL_WORKFLOW=15; OFFICIAL_GOVERNMENT_GUIDANCE=8; PROFESSIONAL_INTERPRETATION=7,"keyword match over LLM-assigned free-text procurement_stage field, not a corpus-native controlled taxonomy"
termination,18,13,OFFICIAL_GOVERNMENT_GUIDANCE=13; OFFICIAL_WORKFLOW=3; PROFESSIONAL_INTERPRETATION=2,"keyword match over LLM-assigned free-text procurement_stage field, not a corpus-native controlled taxonomy"
contract_management_implementation,728,392,OFFICIAL_WORKFLOW=404; OFFICIAL_GOVERNMENT_GUIDANCE=266; PROFESSIONAL_INTERPRETATION=44,"keyword match over LLM-assigned free-text procurement_stage field, not a corpus-native controlled taxonomy"
compliance_reporting,185,123,OFFICIAL_GOVERNMENT_GUIDANCE=105; OFFICIAL_WORKFLOW=66; SECONDARY_LEGISLATION=9,"keyword match over LLM-assigned free-text procurement_stage field, not a corpus-native controlled taxonomy"
UNTAGGED_no_procurement_stage,18706,,,"chunk has empty/[] procurement_stage (mostly legislation source_kind, which is not stage-tagged)"
