config,suite,n,ndcg10_mean,req_coverage_10_mean,scenario_complete_10_rate,regime_error_rate,scope
A_lexical,applicability,8,0.8508,0.75,0.625,0.25,standalone_static_benchmark
A_lexical,authority,4,0.7121,0.5,0.5,0,standalone_static_benchmark
A_lexical,compound,4,0.6666,0.25,0.25,0.5,standalone_static_benchmark
A_lexical,exact_anchor,8,0.7437,0.625,0.625,0.125,standalone_static_benchmark
A_lexical,graph_multi_hop,10,0.737,0.65,0.6,0.2,standalone_static_benchmark
A_lexical,practical_guidance,8,0.7026,0.625,0.625,0.125,standalone_static_benchmark
A_lexical,semantic,10,0.7779,0.45,0.4,0.1,standalone_static_benchmark
A_lexical,vocabulary_mismatch,8,0.5297,0.375,0.375,0,standalone_static_benchmark
B_dense,applicability,8,0.8233,0.75,0.625,0.625,standalone_static_benchmark
B_dense,authority,4,0.8794,0.75,0.75,0.75,standalone_static_benchmark
B_dense,compound,4,0.9467,0.75,0.75,0.25,standalone_static_benchmark
B_dense,exact_anchor,8,0.817,0.8125,0.75,0.625,standalone_static_benchmark
B_dense,graph_multi_hop,10,0.8831,0.7,0.7,0.7,standalone_static_benchmark
B_dense,practical_guidance,8,0.8843,0.6875,0.625,0.25,standalone_static_benchmark
B_dense,semantic,10,0.8239,0.75,0.6,0.5,standalone_static_benchmark
B_dense,vocabulary_mismatch,8,0.7493,0.5,0.375,0.375,standalone_static_benchmark
C_hybrid,applicability,8,0.7884,0.8125,0.75,0.625,standalone_static_benchmark
C_hybrid,authority,4,0.7959,0.75,0.75,0,standalone_static_benchmark
C_hybrid,compound,4,0.822,0.9167,0.75,0.5,standalone_static_benchmark
C_hybrid,exact_anchor,8,0.8387,0.6875,0.625,0.375,standalone_static_benchmark
C_hybrid,graph_multi_hop,10,0.8492,0.85,0.8,0.5,standalone_static_benchmark
C_hybrid,practical_guidance,8,0.8439,1.0,1,0.375,standalone_static_benchmark
C_hybrid,semantic,10,0.8649,0.75,0.6,0.5,standalone_static_benchmark
C_hybrid,vocabulary_mismatch,8,0.6914,0.5,0.375,0.25,standalone_static_benchmark
D_hybrid_priors,applicability,8,0.8451,0.625,0.5,0.25,standalone_static_benchmark
D_hybrid_priors,authority,4,0.8149,0.75,0.75,0.5,standalone_static_benchmark
D_hybrid_priors,compound,4,0.8026,0.6667,0.5,0,standalone_static_benchmark
D_hybrid_priors,exact_anchor,8,0.8068,0.8125,0.75,0.125,standalone_static_benchmark
D_hybrid_priors,graph_multi_hop,10,0.8713,0.9,0.9,0,standalone_static_benchmark
D_hybrid_priors,practical_guidance,8,0.8868,1.0,1,0.125,standalone_static_benchmark
D_hybrid_priors,semantic,10,0.8709,0.7,0.6,0.3,standalone_static_benchmark
D_hybrid_priors,vocabulary_mismatch,8,0.7221,0.5625,0.375,0.125,standalone_static_benchmark
E_hybrid_graph,applicability,8,0.7197,0.8125,0.75,0.5,standalone_static_benchmark
E_hybrid_graph,authority,4,0.8175,0.75,0.75,0,standalone_static_benchmark
E_hybrid_graph,compound,4,0.6892,0.8333,0.5,0.5,standalone_static_benchmark
E_hybrid_graph,exact_anchor,8,0.8385,0.6875,0.625,0.25,standalone_static_benchmark
E_hybrid_graph,graph_multi_hop,10,0.8308,0.85,0.8,0.5,standalone_static_benchmark
E_hybrid_graph,practical_guidance,8,0.7936,0.9375,0.875,0.375,standalone_static_benchmark
E_hybrid_graph,semantic,10,0.8335,0.65,0.5,0.5,standalone_static_benchmark
E_hybrid_graph,vocabulary_mismatch,8,0.667,0.5,0.375,0.25,standalone_static_benchmark
F_two_lane,applicability,8,0.8083,0.5625,0.375,0.125,standalone_static_benchmark
F_two_lane,authority,4,0.8618,0.75,0.75,0.5,standalone_static_benchmark
F_two_lane,compound,4,0.6898,0.6667,0.5,0,standalone_static_benchmark
F_two_lane,exact_anchor,8,0.8135,0.875,0.875,0.125,standalone_static_benchmark
F_two_lane,graph_multi_hop,10,0.9106,0.9,0.9,0.1,standalone_static_benchmark
F_two_lane,practical_guidance,8,0.8157,1.0,1,0.125,standalone_static_benchmark
F_two_lane,semantic,10,0.8484,0.7,0.6,0.4,standalone_static_benchmark
F_two_lane,vocabulary_mismatch,8,0.6629,0.625,0.5,0,standalone_static_benchmark
adaptive,applicability,5,0.6646,1.0,1,,matched_dev
adaptive,authority,3,0.6025,1.0,1,,matched_dev
adaptive,compound,3,0.3725,0.3333,0.3333,,matched_dev
adaptive,guidance,5,0.5414,0.8,0.8,,matched_dev
adaptive,multi_evidence,6,0.6338,1.0,1,,matched_dev
adaptive,semantic,6,0.6029,0.6667,0.6667,,matched_dev
adaptive,statutory,5,0.4721,0.5,0.4,,matched_dev
adaptive,vocabulary,4,0.418,0.25,0.25,,matched_dev
hybrid,applicability,5,0.5342,0.2,0.2,,matched_dev
hybrid,authority,3,0.5689,0.0,0,,matched_dev
hybrid,compound,3,0.3473,0.0,0,,matched_dev
hybrid,guidance,5,0.4917,0.8,0.6,,matched_dev
hybrid,multi_evidence,6,0.5565,0.3333,0.3333,,matched_dev
hybrid,semantic,6,0.3875,0.25,0.1667,,matched_dev
hybrid,statutory,5,0.4898,0.0,0,,matched_dev
hybrid,vocabulary,4,0.396,0.0,0,,matched_dev
legal_static,applicability,5,0.5556,0.8,0.8,,matched_dev
legal_static,authority,3,0.6639,1.0,1,,matched_dev
legal_static,compound,3,0.4227,0.3333,0.3333,,matched_dev
legal_static,guidance,5,0.4023,1.0,1,,matched_dev
legal_static,multi_evidence,6,0.5651,1.0,1,,matched_dev
legal_static,semantic,6,0.4316,0.5,0.5,,matched_dev
legal_static,statutory,5,0.4589,0.3,0.2,,matched_dev
legal_static,vocabulary,4,0.4166,0.75,0.75,,matched_dev
planned_multisearch,applicability,5,0.4474,1.0,1,,matched_dev
planned_multisearch,authority,3,0.5692,1.0,1,,matched_dev
planned_multisearch,compound,3,0.49,0.3333,0.3333,,matched_dev
planned_multisearch,guidance,5,0.5503,1.0,1,,matched_dev
planned_multisearch,multi_evidence,6,0.5449,1.0,1,,matched_dev
planned_multisearch,semantic,6,0.5569,0.8333,0.8333,,matched_dev
planned_multisearch,statutory,5,0.4791,0.6,0.4,,matched_dev
planned_multisearch,vocabulary,4,0.423,0.5,0.5,,matched_dev
adaptive,applicability,3,0.3657,0.3333,0.3333,,matched_test_frozen
adaptive,authority,1,0.4894,1.0,1,,matched_test_frozen
adaptive,compound,1,0.9178,0.5,0,,matched_test_frozen
adaptive,guidance,2,0.5318,1.0,1,,matched_test_frozen
adaptive,multi_evidence,2,0.6648,1.0,1,,matched_test_frozen
adaptive,semantic,3,0.4677,0.6667,0.6667,,matched_test_frozen
adaptive,statutory,3,0.5352,1.0,1,,matched_test_frozen
adaptive,vocabulary,2,0.7275,0.5,0.5,,matched_test_frozen
hybrid,applicability,3,0.4892,0.1667,0,,matched_test_frozen
hybrid,authority,1,0.5201,0.0,0,,matched_test_frozen
hybrid,compound,1,0.1952,0.0,0,,matched_test_frozen
hybrid,guidance,2,0.5642,0.25,0,,matched_test_frozen
hybrid,multi_evidence,2,0.6193,0.0,0,,matched_test_frozen
hybrid,semantic,3,0.6645,0.3333,0.3333,,matched_test_frozen
hybrid,statutory,3,0.5381,0.0,0,,matched_test_frozen
hybrid,vocabulary,2,0.3472,0.25,0,,matched_test_frozen
legal_static,applicability,3,0.2115,0.0,0,,matched_test_frozen
legal_static,authority,1,0.2556,0.0,0,,matched_test_frozen
legal_static,compound,1,0.5294,0.0,0,,matched_test_frozen
legal_static,guidance,2,0.4126,0.75,0.5,,matched_test_frozen
legal_static,multi_evidence,2,0.6648,1.0,1,,matched_test_frozen
legal_static,semantic,3,0.4285,0.6667,0.6667,,matched_test_frozen
legal_static,statutory,3,0.4517,1.0,1,,matched_test_frozen
legal_static,vocabulary,2,0.4323,0.5,0.5,,matched_test_frozen
planned_multisearch,applicability,3,0.3614,0.5,0.3333,,matched_test_frozen
planned_multisearch,authority,1,0.553,1.0,1,,matched_test_frozen
planned_multisearch,compound,1,0.2463,0.0,0,,matched_test_frozen
planned_multisearch,guidance,2,0.5565,1.0,1,,matched_test_frozen
planned_multisearch,multi_evidence,2,0.6423,1.0,1,,matched_test_frozen
planned_multisearch,semantic,3,0.4947,1.0,1,,matched_test_frozen
planned_multisearch,statutory,3,0.361,0.5,0.3333,,matched_test_frozen
planned_multisearch,vocabulary,2,0.5771,0.5,0.5,,matched_test_frozen
