scenario_id,requirement_id,required_concept,expected_gold_citation,gold_citation_resolves,supporting_chunk_ids,support_status,notes
DEV001,REQ1,General duty to publish a tender notice before inviting suppliers under an open procedure or competi,"Procurement Act 2023, s.21",yes,UKPGA_2023_54__NODEV1__CH_00021,FULLY_SUPPORTED,
DEV001,REQ2,Exception disapplying the s.21 tender notice duty for awards by reference to utilities dynamic marke,"Procurement Act 2023, s.40",yes,UKPGA_2023_54__NODEV1__CH_00040,FULLY_SUPPORTED,
DEV002,REQ1,A contract is only a regulated 'public contract' if its estimated value is not less than the applica,"Procurement Act 2023, s.3",yes,ADDLESHAW_FIRST_PA23_CASE__ADDLESHAW_FIRST_PA23_CASE__SEG_0001__CH_001,FULLY_SUPPORTED,
DEV002,REQ2,"The specific threshold amount for a contract for goods, services or works awarded by a sub-central (","Procurement Act 2023, Sch.1 para.1",yes,UKPGA_2023_54__NODEV1__CH_00137,FULLY_SUPPORTED,
DEV003,REQ1,Length of the mandatory standstill period and the event that starts it running,"Procurement Act 2023, s.51",yes,UKPGA_2023_54__NODEV1__CH_00051,FULLY_SUPPORTED,
DEV004,REQ1,"Whether a documented history of poor performance, after a proper chance to improve, can make a suppl","Procurement Act 2023, s.57(2); Procurement Act 2023, Sch.7 para.12",yes,UKPGA_2023_54__NODEV1__CH_00057; UKPGA_2023_54__NODEV1__CH_00137,FULLY_SUPPORTED,
DEV004,REQ2,The centrally-managed route by which an appropriate authority can investigate a supplier and add it ,"Procurement Act 2023, s.60",yes,UKPGA_2023_54__NODEV1__CH_00060,FULLY_SUPPORTED,
DEV005,REQ1,"A planned procurement notice is optional, publishable before the tender notice, with a defined windo","Procurement Act 2023, s.15",yes,UKPGA_2023_54__NODEV1__CH_00015,FULLY_SUPPORTED,
DEV005,REQ2,The specific information a planned procurement notice must contain under regulations,"Procurement Regulations 2024, reg.16",yes,UKSI_2024_692__NODEV1__CH_00001,FULLY_SUPPORTED,
DEV006,REQ1,Whether a direct award to a supplier is permitted where a competitive tendering procedure produced n,Procurement Act 2023 s 43,yes,UKPGA_2023_54__NODEV1__CH_00043,FULLY_SUPPORTED,
DEV006,REQ2,What notice must be published before making such a direct award,Procurement Act 2023 s 44,yes,UKPGA_2023_54__NODEV1__CH_00044,FULLY_SUPPORTED,
DEV007,REQ1,Whether price/cost alone may be the sole award criterion,Guidance: Assessing Competitive Tenders (HTML); Procurement Act 2023 s 19,yes,2a7f4a9e30f42d160e83e115__2a7f4a9e30f42d160e83e115__SEG_0001__CH_001; UKPGA_2023_54__NODEV1__CH_00019,FULLY_SUPPORTED,
DEV007,REQ2,What wider duties must still be considered before choosing price as the sole criterion,Procurement Act 2023 s 12; Guidance: Assessing Competitive Tenders (HTML),yes,UKPGA_2023_54__NODEV1__CH_00012; 2a7f4a9e30f42d160e83e115__2a7f4a9e30f42d160e83e115__SEG_0001__CH_001,FULLY_SUPPORTED,
DEV008,REQ1,Whether a condition of participation may require insurance to be in place before contract award,Procurement Act 2023 s 22,yes,UKPGA_2023_54__NODEV1__CH_00022,FULLY_SUPPORTED,
DEV008,REQ2,Whether a condition of participation may require audited accounts from suppliers not otherwise requi,Procurement Act 2023 s 22,yes,UKPGA_2023_54__NODEV1__CH_00022,FULLY_SUPPORTED,
DEV009,REQ1,The standard maximum term for a framework and conditions for exceeding it,Procurement Act 2023 s 47,yes,UKPGA_2023_54__NODEV1__CH_00047,FULLY_SUPPORTED,
DEV009,REQ2,Whether an open framework is exempt from the term cap and required structure instead,Procurement Act 2023 s 47; Procurement Act 2023 s 49,yes,UKPGA_2023_54__NODEV1__CH_00047; UKPGA_2023_54__NODEV1__CH_00049,FULLY_SUPPORTED,
DEV010,REQ1,Whether new membership applications must continue to be accepted throughout the dynamic market's lif,Procurement Act 2023 s 36,yes,UKPGA_2023_54__NODEV1__CH_00036,FULLY_SUPPORTED,
DEV011,REQ1,Whether there is a duty to consider dividing a contract into lots before publishing a tender notice,Procurement Act 2023 s 18,yes,UKPGA_2023_54__NODEV1__CH_00018,FULLY_SUPPORTED,
